Name,Summary,Images,Blue point,Green Point,Purple Point,Keys,Calories,Carbs,Proteins,Fats
"Mom’s Stuffing, Lightened Up","My Mom makes the BEST Thanksgiving stuffing, it’s the one thing I crave every year more than the turkey! This recipe has been remade like Mom’s, only just a...","https://www.skinnytaste.com/wp-content/uploads/2010/11/momsstuffing-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/11/momsstuffing-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2010/11/momsstuffing-150x225.jpg",4,4,4,,161.0,23.0,7.0,5.0
Makeover Spinach Gratin,"This easy makeover Spinach Gratin is creamy and decadent, with a hint of nutmeg baked in the oven topped with melted Gruyere cheese for a must at your Holiday...","https://www.skinnytaste.com/wp-content/uploads/2017/11/Makeover-Spinach-Gratin-10-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/11/Makeover-Spinach-Gratin-10-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/11/Makeover-Spinach-Gratin-10-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/11/Makeover-Spinach-Gratin-10-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/11/Makeover-Spinach-Gratin-10.jpg",3,3,3,"Gluten Free,Kid Friendly,Low Carb,Vegetarian Meals",111.0,9.2,7.7,5.5
Roasted Green Beans with Caramelized Onions,This simple side dish of Roasted Green Beans with Caramelized Onions pairs wonderfully with Thanksgiving turkey or roasted chicken. Green Beans with Caramelized Onions This Roasted Green Bean recipe...,"https://www.skinnytaste.com/wp-content/uploads/2021/11/Green-Beans-with-Caramelized-Onions-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/11/Green-Beans-with-Caramelized-Onions-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/11/Green-Beans-with-Caramelized-Onions-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/11/Green-Beans-with-Caramelized-Onions-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/11/Green-Beans-with-Caramelized-Onions-6.jpg",,,,"Dairy Free,Gluten Free,Vegetarian Meals,Whole 30 Recipes",102.0,19.0,3.5,2.5
Turkey Pot Pie with Sweet Potato Topping,This Turkey Pot Pie with Sweet Potato Topping screams comfort food! A delicious way to use up your Thanksgiving leftovers. Turkey Pot Pie with Sweet Potato Topping As a...,"https://www.skinnytaste.com/wp-content/uploads/2021/11/Turkey-Mashed-Potato-Pot-Pie-9-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/11/Turkey-Mashed-Potato-Pot-Pie-9-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/11/Turkey-Mashed-Potato-Pot-Pie-9-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/11/Turkey-Mashed-Potato-Pot-Pie-9-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/11/Turkey-Mashed-Potato-Pot-Pie-9.jpg",,,,"Gluten Free,Kid Friendly",337.0,33.0,37.5,6.5
Sautéed Shredded Brussels Sprouts with Pancetta,"Sautéed Shredded Brussels Sprouts with Pancetta is the best Brussel sprout recipe! Lightly pan fried until slightly browned on the edges, it’s my favorite way to cook and eat...","https://www.skinnytaste.com/wp-content/uploads/2011/11/shredded-brussels-sprouts-with-pancetta-1-5-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/11/shredded-brussels-sprouts-with-pancetta-1-5-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/11/shredded-brussels-sprouts-with-pancetta-1-5-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/11/shredded-brussels-sprouts-with-pancetta-1-5.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/11/shredded-brussels-sprouts-with-pancetta-1-5-150x225.jpg",2,2,2,"Dairy Free,Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Paleo,Under 30 Minutes",87.0,9.5,3.5,4.0
Chicken and Broccoli Noodle Casserole,"Chicken and Broccoli Noodle Casserole is sure to be a family crowd pleasure for weeknight dinner, even those with picky palates. Chicken and Broccoli Noodle Casserole This dish is...","https://www.skinnytaste.com/wp-content/uploads/2012/02/Chicken-and-Broccoli-Noodle-Casserole-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/02/Chicken-and-Broccoli-Noodle-Casserole-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/02/Chicken-and-Broccoli-Noodle-Casserole-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/02/Chicken-and-Broccoli-Noodle-Casserole-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/02/Chicken-and-Broccoli-Noodle-Casserole-8.jpg",,,,Kid Friendly,313.0,31.0,27.0,10.0
Baked Brie Phyllo Cups with Craisins and Walnuts,"Easy baked brie in mini phyllo cups topped with craisins, walnuts and honey. Delicious bite-sized appetizers, perfect for the Holidays! Baked Brie Phyllo Cups If you need a quick...","https://www.skinnytaste.com/wp-content/uploads/2012/11/Baked-Brie-Phyllo-Cups-with-Craisins-and-Walnuts-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/11/Baked-Brie-Phyllo-Cups-with-Craisins-and-Walnuts-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/11/Baked-Brie-Phyllo-Cups-with-Craisins-and-Walnuts-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/11/Baked-Brie-Phyllo-Cups-with-Craisins-and-Walnuts-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/11/Baked-Brie-Phyllo-Cups-with-Craisins-and-Walnuts-7.jpg",2,,,"Under 30 Minutes,Vegetarian Meals",60.0,6.5,2.0,3.0
Arugula Salmon Salad with Capers and Shaved Parmesan,"Whenever I make salmon for dinner, I usually cook an extra piece for lunch just to make this arugula salmon salad with capers and shaved Parmesan – so good...",https://www.skinnytaste.com/wp-content/uploads/2012/05/Arugula-Salmon-Salad-with-Capers-and-Shaved-Parmesan-260x377.jpg,2,5,2,"Gluten Free,Keto Recipes,Low Carb,Under 30 Minutes",288.0,2.1,32.6,16.1
Chicken Cassoulet with Sausage and Swiss Chard,Chicken Cassoulet with Sausage and Swiss Chard is a hearty meat and white bean stew made lighter than the classic. Chicken Cassoulet Traditionally made with rich pork sausage and...,"https://www.skinnytaste.com/wp-content/uploads/2021/11/Chicken-Sausage-Swiss-Chard-Cassoulet-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/11/Chicken-Sausage-Swiss-Chard-Cassoulet-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/11/Chicken-Sausage-Swiss-Chard-Cassoulet-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/11/Chicken-Sausage-Swiss-Chard-Cassoulet-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/11/Chicken-Sausage-Swiss-Chard-Cassoulet-6.jpg",7,10,7,"Dairy Free,Freezer Meals,Gluten Free",417.0,45.5,34.0,10.5
Roasted Acorn Squash with Brown Sugar,"Roasted acorn squash with brown sugar, butter and cinnamon is a perfect fall side dish or great Thanksgiving side and so easy to prepare. Roasted Acorn Squash with Brown...","https://www.skinnytaste.com/wp-content/uploads/2017/10/Roasted-Acorn-Squash-with-Brown-Sugar-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/10/Roasted-Acorn-Squash-with-Brown-Sugar-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/10/Roasted-Acorn-Squash-with-Brown-Sugar-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/10/Roasted-Acorn-Squash-with-Brown-Sugar-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2017/10/Roasted-Acorn-Squash-with-Brown-Sugar-6.jpg",4,,4,"Dairy Free,Gluten Free,Vegetarian Meals",143.0,34.5,1.5,2.5
